id,name,price,maximum,minimum,number_of_bed,minimum_reservation,image_url,accommodation_id
1,창의적인 강렬한 앱,116000,3,2,3,2,https://placeimg.com/34/831/any,1
2,폭발하는 세계급 시너지,324000,5,2,5,4,https://dummyimage.com/585x848,3
3,배열적인 강력한 포탈,137000,8,2,4,5,https://dummyimage.com/186x637,5
4,창의적인 무선 관계,84000,8,2,5,1,https://placekitten.com/150/974,4
5,창의적인 프론트 엔드 전자 서비스,391000,5,2,2,2,https://www.lorempixel.com/284/250,5
6,재발명된 실시간 아키텍쳐,176000,8,1,1,2,https://placeimg.com/254/124/any,2
7,구조적인 무결점 관계,202000,5,2,2,5,https://placekitten.com/820/681,4
8,변화무쌍한 전략적 기술,325000,4,2,1,5,https://dummyimage.com/644x542,4
9,시각적인 24/7 채널,312000,6,1,4,2,https://www.lorempixel.com/992/677,3
10,자율적인 무선 패러다임,218000,6,2,3,1,https://placekitten.com/742/170,2
11,강화된 강렬한 앱,89000,4,2,5,3,https://placekitten.com/228/307,2
12,엔지니어 닷컴 포탈,145000,3,1,3,2,https://www.lorempixel.com/537/428,2
13,최적화된 효율적 마케팅,91000,6,2,5,1,https://www.lorempixel.com/157/26,1
14,문화적인 무결점 관계,477000,3,1,5,4,https://www.lorempixel.com/922/729,1
15,문화적인 융합 인프라,469000,5,2,4,2,https://placekitten.com/964/926,3
16,신속한 날카로운 매트릭스,148000,5,1,1,3,https://placekitten.com/736/975,3
17,취약점의 부자 패러다임,28000,3,2,4,5,https://dummyimage.com/30x365,1
18,엔지니어 무선 전자화폐,442000,8,1,2,4,https://placeimg.com/666/952/any,4
19,엔지니어 강력한 방법론,358000,8,1,4,3,https://www.lorempixel.com/9/66,1
20,웅장한 철벽 마케팅,365000,7,2,3,2,https://placekitten.com/558/973,4
21,웅장한 혁명적 플랫폼,281000,5,2,5,1,https://dummyimage.com/46x731,2
22,창의적인 투명 관계,239000,2,1,4,2,https://www.lorempixel.com/139/706,1
23,진화된 고운 방법론,416000,5,2,4,2,https://www.lorempixel.com/423/855,4
24,재발명된 무결점 커뮤니티,138000,7,2,4,4,https://www.lorempixel.com/558/1006,1
25,최적화된 강렬한 채널,107000,6,2,3,4,https://dummyimage.com/398x896,3
26,문화적인 무선 커뮤니티,466000,5,1,5,5,https://placekitten.com/888/220,1
27,변화무쌍한 강력한 스키마,183000,5,2,3,5,https://placeimg.com/457/934/any,2
28,진화된 24/7 시너지,106000,5,1,2,5,https://www.lorempixel.com/115/49,3
29,큰 백 엔드 전자 비즈니스,383000,8,2,2,5,https://placeimg.com/811/45/any,4
30,깨끗한 B2C 관계,335000,8,2,2,2,https://placekitten.com/906/428,2
